host,port,protocol,latency_version,latency_banner,latency_ping,latency_history,supports_p2pkh,supports_p2wpkh,supports_p2tr,error_version,error_banner,error_ping,error_history,response_hash_version,response_hash_banner,response_hash_ping,response_hash_history
35.153.173.144,50001,tcp,131.43682479858398,133.0091953277588,132.11584091186523,141.25680923461914,True,True,True,ok,ok,ok,ok,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894,9f41459056978287c6901f875fbf2ccb2fab90db60951629bc987bff63354894
23.176.184.72,50002,ssl,232.67674446105957,232.92899131774902,231.583833694458,392.12608337402344,True,True,True,ok,ok,ok,ok,2a1635a1dcff5a33b617160458bc582777ccb61be15e7348c9c1f5e6db02a6ff,82d14cb013e62c9a0e2f6cb815f91c06bf01264864513b11b740476af22cecc4,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
35.83.18.93,50002,ssl,213.99688720703125,215.74831008911133,209.34200286865234,214.66803550720215,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
34.96.220.189,50001,tcp,325.38509368896484,324.3980407714844,358.34312438964844,316.817045211792,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
38.102.86.40,50001,tcp,140.78211784362793,142.13895797729492,138.42511177062988,143.65506172180176,True,True,True,ok,ok,ok,ok,f6471fa14387392e47cd2d3bf1cf7c6ab0d994ba6ec1f677ea7d4d9dd63d2507,1d54d6d628f36dd964b1d9e85d5c0662b146869820137680b615e7bc06e62833,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
5.9.80.2,50001,tcp,225.5563735961914,222.24116325378418,222.5501537322998,224.15399551391602,True,True,True,ok,ok,ok,ok,c0beaf2275170bf3556a051ccb8928c96aa80d8b853d5ba87b7ce96a35e0394f,1a3cc894c8669bc6823cc0a3b9e666a02a85474d8e00376d8c25624899a1a38a,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
164.90.247.216,50001,tcp,208.07313919067383,205.92117309570312,207.17978477478027,223.3560085296631,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
134.199.136.239,50001,tcp,196.74992561340332,193.55320930480957,193.94779205322266,192.95310974121094,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
3.98.183.7,50001,tcp,150.21777153015137,176.5141487121582,158.11896324157715,154.78873252868652,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
82.136.98.249,50001,tcp,249.79901313781738,242.56205558776855,234.11083221435547,243.8807487487793,True,True,True,ok,ok,ok,ok,efa33d17619219a21b91e4b034cb46823b676aabbc63d391c52c1e0bc8b8dc25,732448d2abeafec2f07c2e6900d3542952c639c3ced4785447db634953293059,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
104.198.149.61,50001,tcp,155.74407577514648,154.07180786132812,157.68980979919434,181.6561222076416,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
194.233.69.180,50001,tcp,342.0419692993164,342.70715713500977,343.55902671813965,346.0259437561035,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
49.12.38.161,50002,ssl,228.25098037719727,233.9639663696289,227.94580459594727,249.47118759155273,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
148.251.87.112,50002,ssl,230.07988929748535,,,243.5472011566162,True,True,True,ok,[SSL: APPLICATION_DATA_AFTER_CLOSE_NOTIFY] application data after close notify (_ssl.c:2706),[SSL: APPLICATION_DATA_AFTER_CLOSE_NOTIFY] application data after close notify (_ssl.c:2706),ok,258f4b0e7cacae2d95a56d2b45d8a1c6e059bd34535a436dfb18c1f7531c3c99,,,a0ddaa8414a30c52193cb662d9fa8fe54538c7166f49a59eaa010bbe1e7df10e
86.206.48.92,50002,ssl,219.03610229492188,,929.2290210723877,1424.6571063995361,True,True,True,ok,[SSL: APPLICATION_DATA_AFTER_CLOSE_NOTIFY] application data after close notify (_ssl.c:2706),ok,ok,258f4b0e7cacae2d95a56d2b45d8a1c6e059bd34535a436dfb18c1f7531c3c99,,a0ddaa8414a30c52193cb662d9fa8fe54538c7166f49a59eaa010bbe1e7df10e,a0ddaa8414a30c52193cb662d9fa8fe54538c7166f49a59eaa010bbe1e7df10e
34.32.48.252,50001,tcp,220.9460735321045,222.21112251281738,220.73698043823242,219.93494033813477,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
49.12.35.19,50001,tcp,232.3760986328125,233.46304893493652,252.10809707641602,231.20403289794922,True,True,True,ok,ok,ok,ok,4a527ffec6fe3f08ad8e19685a9c325d8ccfe84a5550454d0a9e7b3a5b9a57ce,5a00701cef8cc21af4066060d6c3377e65f826a6ff883ce37e98277e31a44869,523bdc65224a580adb7b8fcdaaf8c811829bd27793fc078aee920fa0e292e746,23487edc6d81f99639e1cd0c5c40dc8e77a20e6b4b2ff0f8471ab159fd6ebd30
72.203.18.192,50001,tcp,205.49297332763672,204.8022747039795,204.30588722229004,208.4481716156006,True,True,True,ok,ok,ok,ok,f7b2552df8e6e067391e706a3181a72c1455deb88e1d4cedefded56c83f4fbcd,a117f8666641b29addd6caf96fd9271c2cbb430df26476cf39af3c4622a1ae5d,3e0d287babded1d6fc492964752683810918ee4397bad81fcfcf1fd1bf44db9f,1a8e24140b5756a8e851f036c6356b8d9948d04ac8a2dd17ac7357e1feacc211
35.197.22.214,50001,tcp,186.600923538208,187.8499984741211,188.9941692352295,188.04693222045898,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
35.244.75.164,50001,tcp,316.0257339477539,317.03925132751465,310.76788902282715,318.38011741638184,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
34.87.220.132,50001,tcp,320.9662437438965,318.79401206970215,317.8062438964844,315.1719570159912,False,False,False,invalid_json,invalid_json,invalid_json,invalid_json,,,,
